id,name,type
1001092,C. E. Williams Middle School For Creative And Scientific Arts,school
1001093,James B. Edwards Elementary,school
1001094,Buist Academy,school
1001095,Mt. Zion Elementary,school
1001096,Belle Hall Elementary,school
1001098,Charleston School Of The Arts,school
1001099,Academic Magnet High,school
1001101,Charleston Progressive,school
1001102,Charles Pinckney Elementary,school
1001103,Thomas C. Cario Middle,school
1001104,West Ashley High,school
1001107,James Island Elementary,school
1001109,Drayton Hall Elementary,school
1001111,Jerry Zucker Middle School Of Science,school
1001112,Pinehurst Elementary,school
1001113,Montessori Community School,school
1001114,North Charleston Creative Arts Elementary,school
1001115,Simmons Pinckney Middle,school
1001116,Deer Park Middle,school
1001117,Carolina Park Elementary,school
1001118,Camp Road Middle,school
1001121,Lucy Garrett Beckham High,school
1001200,Meeting Street Elementary,school
1001612,Charleston Development Academy,school
1001614,East Cooper Montessori Charter,school
1001615,Greg Mathis Charter High,school
1001616,James Island Charter High,school
1001618,Orange Grove Charter School,school
1001620,Charleston Charter School For Math And Science,school
1001628,Pattison's Academy For Comprehensive Education,school
1001629,Carolina Voyager Charter,school
1001630,Allegro Charter School Of Music,school
1101001,Blacksburg High School,school
1101002,John E. Ewing Middle School,school
1101003,Gaffney High School,school
1101005,Alma Elementary School,school
1101007,Blacksburg Middle School,school
1101009,Corinth Elementary School,school
1101010,Draytonville Elementary School,school
1101011,Mary Bramlett Elementary School,school
1101012,Goucher Elementary School,school
1101015,B. D. Lee Elementary School,school
1101019,Luther Vaughan Elementary,school
1101020,Blacksburg Elementary School,school
1101021,Limestone Central Elementary School,school
1101022,Grassy Pond Elementary,school
1101023,Northwest Eelemntary School,school
1101024,Gaffney Middle School,school
1201002,Chester High School,school
1201004,Chester Middle School,school
1201005,Great Falls High School,school
1201006,Lewisville High School,school
1201008,Lewisville Middle School,school
1201011,Great Falls Elementary School,school
1201014,Lewisville Elementary School,school
1201018,Chester Park Elementary School Of Inquiry,school
1201020,Chester Park Elementary School Of The Arts,school
1201021,Chester Park Center Of Literacy Through Technology,school
1201601,The Academy For Teaching And Learning,school
1301001,Cheraw High School,school
1301002,Chesterfield High School,school
1301005,Long Middle School,school
1301006,Mcbee High School,school
1301007,Central High School,school
1301008,New Heights Middle School,school
1301014,Edwards Elementary School,school
1301015,Jefferson Elementary School,school
1301020,Mcbee Elementary,school
1301021,Plainview Elementary School,school
1301023,Ruby Elementary School,school
1301026,Cheraw Intermediate School,school
1301027,Pageland Elementary,school
1301028,Chesterfield-Ruby Middle School,school
1401001,Scott's Branch High,school
1401005,Dr. Rose H.Wilder Elementary,school
1401020,Scott's Branch Middle,school
1402007,Manning High School,school
1402011,Manning Jr. High School,school
1402013,Manning Elementary School,school
1403016,East Clarendon Middle / High School,school
1403019,Walker Gamble Elementary School,school
1501005,Colleton County High School,school
1501006,Bells Elementary School,school
1501011,Cottageville Elementary School,school
1501012,Forest Hills Elementary School,school
1501020,Northside Elementary School,school
1501021,Hendersonville Elementary School,school
1501022,Colleton County Middle School,school
1601004,Hartsville Middle School,school
1601005,Hartsville High School,school
1601006,Lamar High School,school
1601010,Spaulding Middle School,school
1601013,Brockington Elementary Magnet School,school
1601015,Carolina Elementary School,school
1601017,North Hartsville Elementary,school
1601020,Rosenwald Elementary/Middle School,school
1601026,St. John's Elementary School,school
1601027,Thornwell School For The Arts,school
1601030,Darlington High School,school
1601031,Darlington Middle School,school
