school_id,district,school,total_actively_enrolled_students,gender_female,gender_male,gender_missing,black_or_african_american,white,pupils_in_poverty,year,all_other_races
0405801,Anderson 05,South Fant School of Early Ed.,94,42,52,0,66,13,84,2021,15
0501001,Bamberg 01,Bamberg Ehrhardt High,343,176,167,0,202,128,227,2021,13
0501002,Bamberg 01,Bamberg-Ehrhardt Middle,197,99,98,0,116,68,164,2021,13
0501006,Bamberg 01,Richard Carroll Elem.,642,331,311,0,338,267,533,2021,37
0502007,Bamberg 02,Denmark Olar High,174,93,81,0,163,5,154,2021,6
0502008,Bamberg 02,Denmark-Olar Middle,150,82,68,0,142,3,143,2021,5
0502010,Bamberg 02,Denmark-Olar Elem,316,158,158,0,304,4,307,2021,8
0619001,Barnwell 19,Blackville-Hilda High,161,62,99,0,130,24,148,2021,7
0619003,Barnwell 19,Macedonia Elementary-Middle,390,194,196,0,313,50,361,2021,27
0629006,Barnwell 29,Williston Elko High,223,115,108,0,120,86,158,2021,17
0629007,Barnwell 29,Kelly Edwards Elem,360,191,169,0,226,106,305,2021,28
0629008,Barnwell 29,Williston Elko Middle,187,81,106,0,116,62,142,2021,9
0645009,Barnwell 45,Barnwell High,542,279,263,0,242,245,392,2021,55
0645010,Barnwell 45,Guinyard-Butler Middle,343,170,173,0,185,125,270,2021,33
0645011,Barnwell 45,Barnwell Primary,723,322,401,0,334,319,596,2021,70
0645012,Barnwell 45,Barnwell Elem,413,201,212,0,194,173,330,2021,46
0701001,Beaufort 01,Lady's Island Middle,515,256,259,0,268,165,348,2021,82
0701002,Beaufort 01,Beaufort High,1161,551,610,0,417,542,601,2021,202
0701003,Beaufort 01,Hilton Head Is. High,1281,652,629,0,120,594,603,2021,567
0701004,Beaufort 01,Battery Creek High,756,374,382,0,345,194,504,2021,217
0701008,Beaufort 01,Beaufort Elem,372,167,205,0,215,104,287,2021,53
0701009,Beaufort 01,Hilton Head Is. Middle,875,427,448,0,103,306,529,2021,466
0701010,Beaufort 01,Broad River Elem,439,234,205,0,186,101,300,2021,152
0701014,Beaufort 01,Ladys Island Elem,223,106,117,0,119,48,173,2021,56
0701015,Beaufort 01,Mossy Oaks Elem,341,147,194,0,127,132,256,2021,82
0701016,Beaufort 01,Port Royal Elem,170,91,79,0,74,49,144,2021,47
0701017,Beaufort 01,Michael C. Riley Elem,718,359,359,0,79,175,512,2021,464
0701020,Beaufort 01,St Helena Elem,357,180,177,0,282,18,335,2021,57
0701022,Beaufort 01,Joseph S Shanklin Elem,407,202,205,0,200,44,354,2021,163
0701023,Beaufort 01,Whale Branch Elem,386,168,218,0,284,25,359,2021,77
0701024,Beaufort 01,Bluffton Elem,773,341,432,0,78,303,389,2021,392
0701025,Beaufort 01,Coosa Elem,427,205,222,0,80,272,172,2021,75
0701026,Beaufort 01,H. E. McCracken Middle,937,436,501,0,113,462,425,2021,362
0701027,Beaufort 01,Whale Branch Middle,355,175,180,0,279,25,324,2021,51
0701028,Beaufort 01,Beaufort Middle,456,209,247,0,218,163,330,2021,75
0701029,Beaufort 01,Okatie Elem,572,283,289,0,61,357,257,2021,154
0701030,Beaufort 01,Bluffton High,1223,590,633,0,145,476,555,2021,602
0701031,Beaufort 01,Hilton Head Is. Early Childhood,344,175,169,0,51,76,236,2021,217
