ReportCardYear,DistrictNm,SchoolNm,SCHOOLID,SCHOOLTYPECD,StudentsinPoverty_PctCurrYr,StudentsinPoverty_PctLastYr,TCHSALARY_AvgCurrYr,TCHSALARY_AvgLastYr,ExpendforInstruct_PctCurrYr,ExpendforInstruct_PctLastYr,ExpendforTchSalaries_PctCurrYr,ExpendforTchSalaries_PctLastYr,AdminSalary_CurrYr,AdminSalary_LastYr,StateLocalPersonnelPPE_CurrYr,StateLocalPersonnelPPE_LastYr,FedPersonnelPPE_CurrYr,FedPersonnelPPE_LastYr,StateLocalNonPersPPE_CurrYr,StateLocalNonPersPPE_LastYr,FederalNonPersonnelPPE_CurrYr,FederalNonPersonnelPPE_LastYr,TotalStateLocalPPE_CurrYr,TotalStateLocalPPE_LastYr,TotalFederalPPE_CurrYr,TotalFederalPPE_LastYr,TotalPPE_CurrYr,TotalPPE_LastYr
2019,Anderson School District One,Powdersville High School,0401002,H,35.38,33.8,"$49,584","$48,145",,,,,"$97,994","$94,324","$5,852",N/A,$345,N/A,"$1,105",N/A,$213,N/A,"$6,958",N/A,$558,N/A,"$7,516",
2019,Anderson School District One,Wren High School,0401003,H,35.6,36.4,"$55,532","$55,053",,,,,"$97,994","$94,324","$6,669",N/A,$465,N/A,"$1,030",N/A,$175,N/A,"$7,699",N/A,$640,N/A,"$8,339",
2019,Anderson School District One,Palmetto Elementary School,0401004,E,69.72,69.1,"$48,742","$47,830",,,,,"$97,994","$94,324","$6,922",N/A,"$1,054",N/A,$658,N/A,$509,N/A,"$7,580",N/A,"$1,563",N/A,"$9,143",
2019,Anderson School District One,Cedar Grove Elementary,0401005,E,72.52,69.4,"$49,376","$51,844",,,,,"$97,994","$94,324","$5,882",N/A,$954,N/A,$618,N/A,$467,N/A,"$6,500",N/A,"$1,421",N/A,"$7,921",
2019,Anderson School District One,Concrete Primary School,0401006,P,48.88,48.7,"$49,042","$48,500",,,,,"$97,994","$94,324","$5,403",N/A,$218,N/A,$638,N/A,$204,N/A,"$6,041",N/A,$422,N/A,"$6,464",
2019,Anderson School District One,Wren Middle School,0401008,M,41.59,38.6,"$50,178","$51,738",,,,,"$97,994","$94,324","$6,046",N/A,$279,N/A,$753,N/A,$184,N/A,"$6,799",N/A,$464,N/A,"$7,263",
2019,Anderson School District One,West Pelzer Elementary School,0401009,E,70.89,72.2,"$47,164","$49,313",,,,,"$97,994","$94,324","$7,099",N/A,$968,N/A,$720,N/A,$557,N/A,"$7,818",N/A,"$1,525",N/A,"$9,344",
2019,Anderson School District One,Spearman Elementary,0401011,E,51.13,54.0,"$47,267","$46,914",,,,,"$97,994","$94,324","$5,719",N/A,$872,N/A,$645,N/A,$372,N/A,"$6,364",N/A,"$1,244",N/A,"$7,607",
2019,Anderson School District One,Palmetto Middle School,0401012,M,63.66,61.6,"$48,066","$47,202",,,,,"$97,994","$94,324","$5,853",N/A,$472,N/A,$903,N/A,$311,N/A,"$6,756",N/A,$783,N/A,"$7,539",
2019,Anderson School District One,Wren Elementary,0401013,E,43.53,44.9,"$52,505","$53,356",,,,,"$97,994","$94,324","$6,551",N/A,$299,N/A,$695,N/A,$201,N/A,"$7,247",N/A,$500,N/A,"$7,747",
